"id","submission_date","user_id","dsr_note"
31,"2018-04-01","1","heyy"
41,"2018-04-02","1","hi"
36,"2018-04-04","malhotra.a","acvadada"
34,"2018-04-05","aish","hello"
37,"2018-04-06","jitendra.kh","hello"
38,"2018-04-12","aish",""
50,"2018-04-18","1234"," Two new books tout the benefits of drawing, sketching, and doodling as tools to facilitate thinking. While a spate of branded and bespoke blank sketchbooks, journals, and pads meant for drawing are also sparking something of a renewed interest in the practice. Perhaps it's a kind of artistic rebellion over .."
56,"2018-04-19","Mrinal Das","Didn't do anything !
"
40,"2018-04-24","aish","l.kj"
58,"2018-04-25","aish","FF"
33,"2018-04-26","aish","aaaaaaaa"
